,1st Flr SF,2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Roof Matl,Roof Style,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,set,sf,target
166,572,539,0,2,1Fam,2,1,0.0,0.0,2,572.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,176,2,2,Wd Sdng,Wd Sdng,3,1,PConc,1,5,288.0,1.0,2,1,2,Detchd,1982.0,1111,0,GasA,2,1.5Fin,1,2,Lvl,1,5700,Inside,68.36301950805768,2,0,50,RM,0.0,None,8,OldTown,0,3,3,2,CompShg,Gable,WD ,0,Pave,2,572.0,4,0,1926,1950,2008,train,1683.0,116900.0
167,855,586,0,3,Twnhs,2,1,0.0,0.0,2,544.0,311.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Brk Cmn,2,1,CBlock,2,5,440.0,2.0,2,1,2,Attchd,1978.0,1441,1,GasA,2,2Story,1,2,Lvl,1,2289,Inside,24.0,2,0,160,RL,0.0,None,4,NPkVill,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,855.0,4,28,1978,1978,2009,train,2296.0,148500.0
168,672,252,0,2,2fmCon,2,1,1.0,0.0,3,324.0,348.0,0.0,2,1,N,Norm,Norm,FuseA,0,1,2,MetalSd,MetalSd,0,0,BrkTil,1,5,280.0,1.0,2,1,2,Detchd,1941.0,924,0,Grav,1,1.5Fin,1,1,Lvl,1,12180,Inside,60.0,2,0,190,RL,0.0,None,7,Edwards,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,672.0,4,0,1941,1950,2010,train,1596.0,80000.0
169,1126,0,0,2,1Fam,2,3,1.0,0.0,3,0.0,104.0,956.0,1,3,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,1,5,506.0,2.0,2,1,2,Attchd,1984.0,1126,0,GasA,2,SFoyer,1,2,Lvl,1,7400,CulDSac,68.36301950805768,1,0,85,RL,0.0,None,3,Sawyer,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,1060.0,4,178,1984,1984,2008,train,2186.0,152000.0
170,992,0,0,3,1Fam,2,1,0.0,0.0,1,381.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,56,3,2,VinylSd,VinylSd,0,0,CBlock,1,5,319.0,1.0,2,1,2,Detchd,1954.0,992,0,GasA,3,1Story,1,2,Lvl,1,8842,Corner,68.0,2,0,20,RL,0.0,None,1,Edwards,0,2,2,2,CompShg,Gable,Oth,0,Pave,2,381.0,4,60,1954,1954,2010,train,1373.0,155891.0
171,752,624,0,3,1Fam,2,1,0.0,0.0,2,768.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,144,3,2,Wd Sdng,Wd Shng,0,0,PConc,1,5,576.0,2.0,2,1,2,Detchd,1977.0,1376,0,GasA,3,1.5Fin,1,3,Bnk,1,8850,Inside,60.0,2,0,50,RL,0.0,None,2,BrkSide,54,3,2,1,CompShg,Gable,WD ,0,Pave,3,768.0,4,0,1920,1950,2007,train,2144.0,165000.0
172,1218,0,0,2,1Fam,2,1,0.0,0.0,3,1218.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,676.0,2.0,2,1,2,Attchd,2009.0,1218,0,GasA,3,1Story,1,3,Lvl,1,9215,Inside,92.0,2,0,20,FV,0.0,None,4,Somerst,136,2,3,2,CompShg,Hip,New,0,Pave,2,1218.0,4,0,2009,2010,2010,train,2436.0,204500.0
173,888,756,0,3,1Fam,2,1,0.0,0.0,2,342.0,386.0,0.0,1,1,Y,Artery,Norm,SBrkr,0,2,2,MetalSd,MetalSd,3,2,CBlock,1,5,312.0,1.0,2,1,2,Attchd,1942.0,1644,1,GasA,3,2Story,1,3,Lvl,1,9480,Inside,79.0,2,0,70,RL,224.0,Stone,6,NAmes,0,3,2,2,CompShg,Gable,WD ,0,Pave,3,728.0,4,168,1942,1995,2007,train,2372.0,146500.0
174,1601,0,0,3,1Fam,2,1,0.0,0.0,3,567.0,704.0,0.0,3,1,Y,RRAn,Norm,SBrkr,0,2,2,Plywood,Plywood,2,1,CBlock,2,5,478.0,2.0,2,1,2,Attchd,1978.0,1601,0,GasA,2,1Story,1,2,Lvl,1,11880,Inside,82.0,1,0,20,RL,206.0,BrkFace,4,NWAmes,0,2,3,2,CompShg,Gable,COD,0,Pave,3,1271.0,4,0,1978,1978,2009,train,2872.0,157000.0
175,1313,1182,0,5,1Fam,2,2,0.0,0.0,2,1313.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Shng,3,1,BrkTil,2,5,342.0,2.0,1,1,2,Detchd,1950.0,2495,0,GasW,3,2Story,1,2,Lvl,1,10800,Inside,60.0,2,0,70,RM,0.0,None,12,OldTown,299,3,3,2,CompShg,Gable,WD ,0,Pave,4,1313.0,4,0,1890,1999,2008,train,3808.0,184000.0
176,807,702,0,3,1Fam,2,1,1.0,0.0,3,326.0,457.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,3,1,PConc,2,5,393.0,2.0,2,2,2,Attchd,2002.0,1509,1,GasA,3,2Story,1,3,Lvl,1,7861,Inside,68.36301950805768,1,0,60,RL,0.0,None,6,Gilbert,75,2,2,2,CompShg,Gable,WD ,0,Pave,3,783.0,4,100,2002,2003,2006,train,2292.0,183200.0
177,1092,0,0,3,1Fam,2,1,0.0,1.0,2,252.0,170.0,670.0,1,2,Y,Norm,Norm,SBrkr,144,2,2,Wd Sdng,Wd Sdng,1,1,CBlock,1,5,288.0,1.0,2,1,2,Attchd,1962.0,1092,0,GasA,2,1Story,1,2,Lvl,1,11616,Inside,68.36301950805768,2,0,20,RL,116.0,BrkFace,9,Sawyer,20,2,2,2,CompShg,Gable,WD ,0,Pave,2,1092.0,4,0,1962,1962,2009,train,2184.0,139000.0
178,1325,1093,0,3,1Fam,2,4,1.0,0.0,3,138.0,1173.0,0.0,3,1,Y,Norm,Norm,SBrkr,216,2,3,Wd Sdng,ImStucc,2,1,PConc,2,5,983.0,3.0,2,1,2,Attchd,1993.0,2418,1,GasA,3,2Story,1,3,Lvl,1,10542,Inside,96.0,2,0,60,RL,651.0,BrkFace,8,NoRidge,154,2,3,2,CompShg,Hip,WD ,0,Pave,3,1311.0,4,250,1993,1994,2008,train,3729.0,341000.0
179,483,504,0,2,Twnhs,2,1,0.0,0.0,2,327.0,156.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,264.0,1.0,2,1,2,Detchd,1971.0,987,1,GasA,2,2Story,1,2,Lvl,1,1680,Inside,21.0,2,0,160,RM,504.0,BrkFace,2,BrDale,0,2,2,2,CompShg,Gable,COD,0,Pave,2,483.0,4,275,1971,1971,2010,train,1470.0,96000.0
180,1121,0,0,2,1Fam,2,1,0.0,0.0,3,1121.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,440.0,2.0,2,1,2,Attchd,2003.0,1121,0,GasA,3,1Story,1,2,Lvl,1,8546,Corner,80.0,2,0,20,RM,0.0,None,3,Edwards,64,2,2,2,CompShg,Gable,WD ,0,Pave,2,1121.0,4,132,2003,2004,2010,train,2242.0,140000.0
181,1236,0,0,2,1Fam,2,1,1.0,0.0,2,312.0,600.0,0.0,3,1,Y,Artery,Norm,FuseA,158,2,2,MetalSd,MetalSd,0,0,CBlock,1,5,923.0,2.0,2,1,2,Attchd,1957.0,1236,0,GasA,2,1Story,1,2,Lvl,1,7407,Inside,90.0,2,0,20,RM,0.0,None,4,OldTown,158,3,2,2,CompShg,Gable,WD ,0,Pave,2,912.0,4,0,1957,1996,2010,train,2148.0,149700.0
182,1074,0,0,3,1Fam,2,1,1.0,0.0,3,268.0,788.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,0,0,CBlock,1,5,495.0,2.0,2,1,2,Attchd,1975.0,1074,1,GasA,3,1Story,1,2,Lvl,1,10140,Inside,78.0,2,0,20,RL,0.0,None,7,NWAmes,88,2,2,2,CompShg,Gable,WD ,0,Pave,2,1056.0,4,0,1975,1975,2006,train,2130.0,153500.0
183,733,0,0,2,1Fam,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,N,Norm,Norm,FuseA,0,1,1,AsbShng,VinylSd,0,0,Slab,1,1,487.0,2.0,1,1,1,Attchd,1952.0,733,0,Wall,1,1Story,1,1,Low,2,14584,Inside,80.0,2,0,20,A (agr),0.0,None,2,IDOTRR,0,2,1,0,CompShg,Gable,WD ,0,Pave,2,0.0,4,0,1952,1952,2008,train,733.0,13100.0
184,884,884,0,3,1Fam,2,1,1.0,0.0,3,334.0,550.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,543.0,2.0,2,1,2,Attchd,2003.0,1768,1,GasA,3,2Story,1,3,Lvl,1,8158,Inside,65.0,2,0,60,RL,252.0,BrkFace,7,CollgCr,63,2,3,2,CompShg,Gable,WD ,0,Pave,3,884.0,4,0,2003,2003,2008,train,2652.0,224900.0
185,1266,0,0,3,1Fam,2,1,0.0,0.0,3,1257.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,2,1,PConc,2,5,453.0,2.0,2,1,2,Attchd,2005.0,1266,0,GasA,3,1Story,1,3,Lvl,1,7500,Inside,62.0,2,0,20,FV,0.0,None,4,Somerst,144,2,3,2,CompShg,Gable,WD ,0,Pave,2,1257.0,4,38,2005,2005,2006,train,2523.0,176000.0
187,1464,0,0,3,1Fam,2,4,1.0,0.0,3,556.0,929.0,0.0,3,1,Y,RRAn,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,754.0,3.0,2,1,2,Attchd,2007.0,1464,0,GasA,3,1Story,1,3,Lvl,1,15256,CulDSac,49.0,1,0,20,RL,84.0,Stone,8,Somerst,160,2,3,2,CompShg,Gable,WD ,0,Pave,2,1485.0,4,168,2007,2007,2007,train,2949.0,282922.0
188,1216,941,0,4,1Fam,2,1,0.0,0.0,2,479.0,445.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,MetalSd,MetalSd,3,2,CBlock,2,5,487.0,2.0,2,2,2,Attchd,1966.0,2157,1,GasA,3,2Story,1,3,Lvl,1,14200,Corner,88.0,2,0,60,RL,309.0,BrkFace,5,NAmes,66,2,3,2,CompShg,Gable,WD ,0,Pave,3,924.0,4,105,1966,1966,2006,train,3081.0,226000.0
189,1264,1312,0,4,1Fam,3,1,0.0,0.0,3,1234.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,3,1,PConc,2,5,666.0,3.0,2,2,2,BuiltIn,2006.0,2576,1,GasA,3,2Story,1,3,Lvl,1,12438,Inside,82.0,1,0,60,RL,466.0,BrkFace,7,StoneBr,100,2,3,2,CompShg,Hip,New,0,Pave,4,1234.0,4,324,2006,2006,2006,train,3810.0,361919.0
191,1743,0,0,0,1Fam,3,4,2.0,0.0,3,0.0,51.0,915.0,1,3,Y,Norm,Norm,SBrkr,0,2,3,Wd Sdng,Wd Sdng,1,2,CBlock,0,5,529.0,2.0,2,2,2,Attchd,1976.0,1743,1,GasA,3,1Story,1,3,Low,3,20064,Inside,155.0,1,0,20,RL,0.0,None,5,ClearCr,0,2,3,2,WdShngl,Shed,WD ,0,Pave,2,966.0,4,646,1976,1976,2007,train,2709.0,279000.0
192,1567,0,0,2,1Fam,2,4,1.0,0.0,2,0.0,1567.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,ImStucc,2,2,PConc,2,5,714.0,2.0,2,1,2,Attchd,1977.0,1567,0,GasA,2,1Story,1,3,Lvl,2,9819,Inside,68.36301950805768,1,0,20,RL,0.0,None,5,Mitchel,32,2,2,2,CompShg,Gable,WD ,0,Pave,2,1567.0,4,264,1977,1977,2009,train,3134.0,196000.0
193,1370,0,0,3,1Fam,2,1,0.0,0.0,3,1090.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,HdBoard,HdBoard,2,1,CBlock,2,5,479.0,2.0,2,1,2,Attchd,1976.0,1370,0,GasA,2,1Story,1,2,Lvl,1,10400,Inside,80.0,2,0,20,RL,189.0,BrkFace,6,NWAmes,0,2,3,2,CompShg,Gable,WD ,0,Pave,2,1090.0,4,0,1976,1976,2009,train,2460.0,152000.0
194,1338,1296,0,6,Duplex,2,1,1.0,1.0,2,748.0,500.0,0.0,1,1,Y,Artery,Norm,SBrkr,0,2,2,MetalSd,MetalSd,0,0,CBlock,2,5,968.0,4.0,2,1,2,Detchd,1969.0,2634,2,GasA,2,2Story,2,2,Lvl,1,11643,Inside,91.0,2,0,90,RL,368.0,BrkFace,8,NAmes,0,2,2,2,CompShg,Gable,WD ,0,Pave,4,1248.0,4,0,1969,1969,2009,train,3882.0,200000.0
195,1590,0,0,2,1Fam,2,4,1.0,0.0,3,448.0,1122.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,754.0,3.0,2,2,2,Attchd,2005.0,1590,1,GasA,3,1Story,1,3,Lvl,1,11645,Inside,78.0,2,0,20,RL,198.0,BrkFace,8,CollgCr,80,2,3,2,CompShg,Hip,New,0,Pave,2,1570.0,4,176,2005,2006,2006,train,3160.0,294900.0
196,1450,0,0,2,1Fam,2,1,0.0,0.0,3,1450.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,788.0,3.0,2,1,2,Attchd,2008.0,1450,0,GasA,3,1Story,1,3,Lvl,1,7328,Inside,61.0,2,0,20,RL,140.0,BrkFace,2,SawyerW,93,2,3,2,CompShg,Gable,New,0,Pave,2,1450.0,4,0,2008,2009,2009,train,2900.0,224243.0
197,846,492,0,3,1Fam,1,1,0.0,0.0,1,832.0,0.0,0.0,1,1,Y,Artery,Norm,FuseF,208,1,2,AsbShng,AsbShng,0,0,BrkTil,2,5,528.0,2.0,2,1,2,Detchd,1974.0,1338,0,GasA,2,1.5Fin,1,2,Bnk,1,7822,Corner,72.0,2,0,50,RL,0.0,None,5,Edwards,0,1,2,0,CompShg,Gable,WD ,0,Pave,3,832.0,4,0,1915,1950,2006,train,2170.0,92000.0
198,728,728,0,3,1Fam,2,3,0.0,0.0,3,728.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,3,1,PConc,2,5,400.0,2.0,2,2,2,Attchd,2007.0,1456,1,GasA,3,2Story,1,3,Lvl,1,9018,Inside,65.0,1,0,60,RL,0.0,None,7,Gilbert,24,2,3,2,CompShg,Hip,New,0,Pave,3,728.0,4,100,2007,2007,2007,train,2184.0,179540.0
200,530,462,0,2,Twnhs,2,3,1.0,0.0,3,27.0,503.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,CemntBd,CmentBd,0,0,CBlock,1,5,297.0,1.0,2,2,2,BuiltIn,1970.0,992,0,GasA,2,SLvl,1,2,Lvl,1,1533,Inside,68.36301950805768,2,0,180,RM,0.0,None,7,MeadowV,97,2,2,2,CompShg,Gable,WD ,0,Pave,2,530.0,4,112,1970,1970,2007,train,1522.0,106500.0
201,1026,981,0,3,1Fam,2,3,1.0,0.0,3,252.0,765.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,3,1,PConc,2,5,812.0,3.0,2,2,2,Attchd,2008.0,2007,1,GasA,3,2Story,1,3,Lvl,1,11003,Inside,85.0,2,0,60,FV,160.0,Stone,4,Somerst,52,2,3,2,CompShg,Gable,WD ,0,Pave,4,1017.0,4,168,2008,2008,2009,train,3024.0,310000.0
202,1108,1277,0,4,1Fam,2,1,0.0,0.0,3,1066.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,2,1,PConc,2,5,600.0,3.0,2,2,2,BuiltIn,1998.0,2385,1,GasA,3,2Story,1,3,Lvl,1,10790,Inside,83.0,2,0,60,RL,275.0,BrkFace,5,NoRidge,38,2,3,2,CompShg,Gable,WD ,0,Pave,3,1066.0,4,120,1998,1998,2007,train,3451.0,252000.0
203,918,728,0,4,1Fam,2,1,0.0,0.0,2,554.0,364.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,3,2,MetalSd,MetalSd,3,2,CBlock,2,5,240.0,1.0,2,1,2,Detchd,1941.0,1646,0,GasA,3,2.5Unf,1,2,Lvl,1,7128,Inside,53.0,2,0,75,RL,0.0,None,8,Crawfor,0,2,3,2,CompShg,Gable,WD ,126,Pave,3,918.0,4,0,1941,1950,2007,train,2564.0,164000.0
204,728,728,0,3,1Fam,2,1,0.0,0.0,3,728.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,400.0,2.0,2,2,2,Attchd,2007.0,1456,1,GasA,3,2Story,1,3,Lvl,1,7713,Inside,64.0,2,0,60,RL,16.0,Stone,7,Gilbert,24,2,3,2,CompShg,Gable,New,0,Pave,3,728.0,4,100,2007,2007,2007,train,2184.0,177594.0
205,548,492,0,2,1Fam,1,1,0.0,0.0,2,252.0,276.0,0.0,2,1,Y,Norm,Norm,SBrkr,32,2,2,VinylSd,VinylSd,0,0,CBlock,1,5,624.0,2.0,2,2,2,Detchd,1979.0,1040,0,GasA,3,1.5Fin,1,2,Lvl,1,6240,Inside,52.0,2,0,50,RM,0.0,None,5,BrkSide,0,3,2,1,CompShg,Gable,WD ,0,Pave,2,528.0,4,306,1936,1980,2010,train,1568.0,123900.0
206,1370,1254,0,4,1Fam,2,1,1.0,0.0,3,242.0,1128.0,0.0,2,1,N,Feedr,Norm,FuseA,0,2,2,Wd Sdng,Stucco,3,1,BrkTil,2,5,864.0,3.0,2,1,2,Detchd,1918.0,2624,1,GasW,2,2Story,1,2,Lvl,1,22420,Inside,86.0,1,0,70,RL,0.0,None,11,Crawfor,0,2,2,0,CompShg,Hip,WD ,0,Pave,4,1370.0,4,0,1918,1950,2007,train,3994.0,239000.0
207,1264,0,0,2,1Fam,2,1,1.0,0.0,2,1026.0,42.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,HdBoard,2,1,CBlock,1,5,528.0,2.0,2,1,2,Attchd,1965.0,1264,0,GasA,2,1Story,1,2,Bnk,1,15300,Inside,85.0,2,0,20,RL,0.0,None,6,Mitchel,0,2,2,2,CompShg,Hip,WD ,0,Pave,3,1068.0,4,0,1965,1977,2010,train,2332.0,169000.0
208,1557,0,0,2,TwnhsE,2,4,0.0,0.0,3,1374.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,2,1,PConc,2,5,420.0,2.0,2,2,2,Attchd,2003.0,1557,0,GasA,3,1Story,1,3,Lvl,1,3196,Inside,68.36301950805768,2,0,120,RL,18.0,BrkFace,10,Blmngtn,20,2,3,2,CompShg,Gable,WD ,0,Pave,3,1374.0,4,143,2003,2004,2006,train,2931.0,234000.0
209,1287,0,0,2,1Fam,2,3,1.0,0.0,3,0.0,841.0,116.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Plywood,1,2,CBlock,1,5,541.0,2.0,2,1,2,Attchd,1977.0,1287,1,GasA,2,SFoyer,1,2,Bnk,1,9360,Inside,72.0,2,0,85,RL,0.0,None,11,Mitchel,39,3,2,2,CompShg,Gable,WD ,120,Pave,2,957.0,4,302,1977,1977,2009,train,2244.0,173000.0
210,1004,0,0,2,1Fam,2,1,1.0,0.0,2,426.0,578.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,2,1,CBlock,1,5,480.0,2.0,2,2,2,Attchd,1970.0,1004,0,GasA,3,1Story,1,2,Lvl,1,11241,CulDSac,68.36301950805768,1,0,20,RL,180.0,BrkFace,3,NAmes,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,1004.0,4,0,1970,1970,2010,train,2008.0,149000.0
211,1162,0,0,3,1Fam,2,2,0.0,0.0,3,1162.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,483.0,2.0,2,2,2,Attchd,2007.0,1162,0,GasA,3,1Story,1,3,Lvl,1,9260,Corner,81.0,2,0,20,RL,0.0,None,3,SawyerW,32,2,3,2,CompShg,Gable,WD ,0,Pave,2,1162.0,4,0,2007,2007,2008,train,2324.0,170000.0
212,1436,0,0,3,1Fam,2,1,0.0,0.0,3,1436.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,0,0,PConc,2,5,529.0,2.0,2,2,2,Attchd,2008.0,1436,0,GasA,3,1Story,1,3,Lvl,1,7993,Inside,90.0,1,0,20,FV,92.69946714031971,none,10,Somerst,121,2,3,2,CompShg,Gable,New,0,Pave,2,1436.0,4,0,2008,2009,2009,train,2872.0,225000.0
213,960,0,0,3,1Fam,2,1,1.0,0.0,2,326.0,634.0,0.0,3,1,Y,Feedr,Norm,SBrkr,0,3,2,VinylSd,VinylSd,0,0,CBlock,1,5,300.0,1.0,2,2,2,Attchd,1963.0,960,0,GasA,3,1Story,1,3,Lvl,1,9239,Inside,94.0,2,0,20,RL,0.0,None,5,Sawyer,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,960.0,4,168,1963,2003,2008,train,1920.0,144900.0
214,1196,0,0,3,1Fam,2,4,1.0,0.0,3,126.0,1070.0,0.0,3,1,Y,Norm,Norm,SBrkr,168,2,2,MetalSd,MetalSd,0,0,CBlock,1,5,336.0,1.0,2,1,2,Attchd,1968.0,1196,0,GasA,2,1Story,1,2,Low,1,10044,CulDSac,60.0,1,0,20,RL,0.0,None,6,Edwards,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,1196.0,4,257,1968,1968,2010,train,2392.0,144000.0
215,1269,0,0,2,TwnhsE,2,1,0.0,0.0,3,1232.0,24.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,2,1,PConc,2,5,430.0,2.0,2,2,2,Attchd,2004.0,1269,0,GasA,3,1Story,1,3,Lvl,1,3182,Inside,43.0,2,0,120,RL,16.0,BrkFace,4,Blmngtn,20,2,3,2,CompShg,Gable,WD ,144,Pave,2,1256.0,4,146,2004,2005,2010,train,2525.0,192000.0
216,1031,0,0,2,1Fam,2,1,1.0,0.0,2,100.0,931.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,Wd Sdng,Wd Sdng,0,0,CBlock,1,5,230.0,1.0,2,1,2,Attchd,1952.0,1031,0,GasA,3,1Story,1,3,Lvl,1,7626,Inside,60.0,2,0,20,RL,0.0,None,3,NAmes,0,3,2,2,CompShg,Hip,WD ,0,Pave,2,1031.0,4,0,1952,2005,2009,train,2062.0,145500.0
217,448,272,0,1,1Fam,1,1,0.0,0.0,1,448.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,70,3,2,MetalSd,MetalSd,0,0,BrkTil,1,5,280.0,1.0,2,1,1,Attchd,1900.0,720,0,GasA,3,1.5Fin,1,1,Lvl,1,7008,Corner,60.0,2,0,50,RL,0.0,None,3,OldTown,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,448.0,4,0,1900,1998,2006,train,1168.0,86900.0
218,1505,0,162,2,1Fam,2,1,1.0,0.0,2,481.0,1024.0,0.0,2,1,Y,Feedr,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,2,1,CBlock,1,5,505.0,2.0,2,1,2,Attchd,1953.0,1505,0,GasA,3,1Story,1,2,Lvl,1,12160,Inside,128.0,2,0,20,RL,90.0,BrkFace,2,NAmes,0,2,2,2,CompShg,Hip,WD ,0,Pave,2,1505.0,4,0,1953,1953,2009,train,3010.0,149500.0
219,954,0,0,2,1Fam,1,1,0.0,0.0,1,920.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,3,2,MetalSd,MetalSd,3,1,PConc,1,5,240.0,1.0,2,1,1,Basment,1938.0,954,0,GasA,3,1Story,1,1,Bnk,1,6305,Inside,50.0,2,0,30,RL,0.0,None,6,Crawfor,0,3,2,2,CompShg,Gable,WD ,0,Pave,2,920.0,4,0,1938,1950,2007,train,1874.0,119750.0
220,750,750,0,3,1Fam,2,1,0.0,0.0,3,750.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,564.0,2.0,2,1,2,Attchd,2005.0,1500,1,GasA,3,2Story,1,3,Lvl,1,8846,Inside,68.0,2,0,60,RL,0.0,None,8,CollgCr,35,2,2,2,CompShg,Gable,New,0,Pave,2,750.0,4,0,2005,2006,2006,train,2250.0,173900.0
221,1050,0,0,3,1Fam,2,1,1.0,0.0,2,135.0,915.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,0,0,CBlock,1,5,368.0,1.0,2,1,2,Attchd,1961.0,1050,0,GasA,2,1Story,1,2,Lvl,1,10659,Inside,68.36301950805768,1,0,20,RL,0.0,None,1,NAmes,319,2,2,2,CompShg,Hip,COD,0,Pave,2,1050.0,4,0,1961,1961,2006,train,2100.0,136500.0
223,1252,0,0,1,1Fam,2,4,1.0,0.0,3,93.0,429.0,1080.0,2,3,Y,Norm,Norm,SBrkr,0,2,2,BrkFace,Plywood,3,1,CBlock,1,5,564.0,2.0,2,1,2,Attchd,1960.0,1252,0,GasA,3,1Story,1,2,Lvl,1,13500,Inside,68.36301950805768,2,0,20,RL,0.0,None,3,ClearCr,0,3,2,2,CompShg,Flat,WD ,0,Pave,2,1602.0,4,409,1960,1975,2008,train,2854.0,235000.0
224,774,656,0,3,1Fam,2,1,0.0,0.0,3,384.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,2,1,PConc,2,5,400.0,2.0,2,1,2,BuiltIn,1999.0,1430,1,GasA,3,SLvl,1,2,Lvl,1,7750,Inside,62.0,2,0,80,RL,0.0,None,3,Gilbert,0,2,3,2,CompShg,Gable,WD ,0,Pave,3,384.0,4,0,1999,2000,2009,train,1814.0,156000.0
225,1114,0,0,3,1Fam,2,1,1.0,0.0,3,278.0,836.0,0.0,3,1,Y,RRAe,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,576.0,2.0,2,1,2,Detchd,2004.0,1114,0,GasA,3,1Story,1,3,Lvl,1,12450,Inside,60.0,2,0,20,RL,0.0,None,6,SawyerW,42,2,2,2,CompShg,Gable,WD ,0,Pave,2,1114.0,4,0,2003,2004,2009,train,2228.0,153000.0
